Extensió,N llibres,Seed,Temps,%predecessors,%paralels,%goals,%arestes
B,5,42,0,100,0,100,100
B,10,42,0,100,0,100,100
B,15,42,"0,01",100,0,100,100
B,20,42,"0,01",100,0,100,100
B,25,42,"0,03",100,0,100,100
B,30,42,"0,04",100,0,100,100
B,35,42,"0,05",100,0,100,100
B,40,42,"0,07",100,0,100,100
B,45,42,"0,13",100,0,100,100
B,50,42,"0,15",100,0,100,100
B,55,42,"0,22",100,0,100,100
B,60,42,"0,27",100,0,100,100
B,65,42,"0,42",100,0,100,100
B,70,42,"0,54",100,0,100,100
B,75,42,"0,6",100,0,100,100
B,80,42,"0,68",100,0,100,100
B,85,42,"0,93",100,0,100,100
B,90,42,1,100,0,100,100
B,95,42,"1,17",100,0,100,100
B,100,42,"1,57",100,0,100,100
1,5,42,0,100,0,100,100
1,10,42,0,100,0,100,100
1,15,42,"0,01",100,0,100,100
1,20,42,"0,03",100,0,100,100
1,25,42,"0,05",100,0,100,100
1,30,42,"0,09",100,0,100,100
1,35,42,"0,18",100,0,100,100
1,40,42,"0,3",100,0,100,100
1,45,42,"0,45",100,0,100,100
1,50,42,"0,71",100,0,100,100
1,55,42,"1,08",100,0,100,100
1,60,42,"1,61",100,0,100,100
1,65,42,"2,24",100,0,100,100
1,70,42,"2,71",100,0,100,100
1,75,42,4,100,0,100,100
1,80,42,"4,98",100,0,100,100
1,85,42,"6,52",100,0,100,100
1,90,42,"7,77",100,0,100,100
1,95,42,"10,22",100,0,100,100
1,100,42,"13,1",100,0,100,100
